_id,stpName,stpLat,stpLon,rtId,rtDir,isBus,stpLat_bin,stpLon_bin
4693,Pulaski & 115th Street,41.6841664,-87.7199024,53A,North Bound,TRUE,0,4
16062,115th Street & Pulaski,41.68396609,-87.7196449,53A,South Bound,TRUE,0,4
10066,115th Street & Springfield Terminal,41.68420246,-87.71716654,52A,North Bound,TRUE,0,4
10066,115th Street & Springfield Terminal,41.68420246,-87.71716654,52A,South Bound,TRUE,0,4
10066,115th Street & Springfield Terminal,41.68420246,-87.71716654,53A,North Bound,TRUE,0,4
10066,115th Street & Springfield Terminal,41.68420246,-87.71716654,53A,South Bound,TRUE,0,4
9955,115th Street & Springfield,41.68398612,-87.71716118,52A,North Bound,TRUE,0,4
10065,115th Street & Springfield,41.68404621,-87.71704853,52A,South Bound,TRUE,0,4
9956,115th Street & Hamlin,41.68402218,-87.71525145,52A,North Bound,TRUE,0,4
10064,115th Street & Hamlin,41.68407827,-87.71498322,52A,South Bound,TRUE,0,5
9957,115th Street & Lawndale,41.68406224,-87.71292329,52A,North Bound,TRUE,0,5
10063,115th Street & Lawndale,41.68413435,-87.71251023,52A,South Bound,TRUE,0,5
9958,115th Street & Central Park,41.68409028,-87.71042347,52A,North Bound,TRUE,0,5
10062,115th Street & Central Park,41.68415839,-87.71008015,52A,South Bound,TRUE,0,5
9959,115th Street & St. Louis,41.68411833,-87.70797729,52A,North Bound,TRUE,0,5
10061,115th Street & St. Louis,41.68419445,-87.70774126,52A,South Bound,TRUE,0,5
9960,115th Street & Homan,41.6841664,-87.70556867,52A,North Bound,TRUE,0,5
10060,115th Street & Homan,41.6842305,-87.70531118,52A,South Bound,TRUE,0,5
10059,115th Street & Spaulding,41.68427057,-87.702865,52A,South Bound,TRUE,0,5
15794,115th Street & Spaulding,41.68420647,-87.70263433,52A,North Bound,TRUE,0,5
10057,Kedzie & 114th Street,41.68666626,-87.70066559,52A,South Bound,TRUE,0,5
10058,Kedzie & 115th Street,41.68447488,-87.70058513,52A,South Bound,TRUE,0,5
9963,Kedzie & 114th Street,41.68649801,-87.7005744,52A,North Bound,TRUE,0,5
9962,Kedzie & 115th Street,41.68463513,-87.70051539,52A,North Bound,TRUE,0,5
8462,Western & 115th Street,41.68465917,-87.68102646,49A,South Bound,TRUE,0,5
8461,Western & 114th Street,41.68651003,-87.681005,49A,South Bound,TRUE,0,5
8463,Western & 116th Street,41.6829565,-87.68098891,49A,South Bound,TRUE,0,5
8464,Western & 117th Street,41.68105747,-87.6809299,49A,South Bound,TRUE,0,5
8465,Western & 118th Street,41.67925053,-87.68088162,49A,South Bound,TRUE,0,5
8498,Western & 114th Street,41.68591712,-87.68082798,49A,North Bound,TRUE,0,5
17377,Western & 115th Street,41.68493961,-87.68080652,49A,North Bound,TRUE,0,5
8496,Western & 116th Street,41.68284432,-87.68072605,49A,North Bound,TRUE,0,5
8466,Western & 119th Street,41.67691065,-87.68069923,49A,South Bound,TRUE,0,5
8467,Western & 120th Street,41.67556838,-87.68067241,49A,South Bound,TRUE,0,5
8495,Western & 117th Street,41.68088519,-87.68065631,49A,North Bound,TRUE,0,5
8492,Western & 119th Street,41.67695873,-87.68062413,49A,North Bound,TRUE,0,5
8493,Western & 119th Street Terminal,41.67765589,-87.68062413,49A,North Bound,TRUE,0,5
8494,Western & 118th Street,41.6788098,-87.6806134,49A,North Bound,TRUE,0,5
8468,Western & 121st Street,41.67357297,-87.68059194,49A,South Bound,TRUE,0,5
8491,Western & 120th Street,41.67525185,-87.68058121,49A,North Bound,TRUE,0,5
8469,Western & 122nd Street,41.6717578,-87.68053293,49A,South Bound,TRUE,0,5
8490,Western & 121st Street,41.67336461,-87.68050611,49A,North Bound,TRUE,0,5
8470,Western & 123rd Street,41.66997865,-87.68046856,49A,South Bound,TRUE,0,5
8489,Western & 122nd Street,41.67158149,-87.68044174,49A,North Bound,TRUE,0,5
8471,Western & Krueger/Orchard,41.66831967,-87.68043101,49A,South Bound,TRUE,0,5
17025,Western & 123rd Street,41.67004678,-87.68039346,49A,North Bound,TRUE,0,5
8472,Western & Collins/Cochran,41.6664723,-87.680372,49A,South Bound,TRUE,0,5
