30002,Austin (Forest Pk-bound),-87.776812,41.870851,blue,40010,Forest Park-bound,FALSE
30001,Austin (O'Hare-bound),-87.776812,41.870851,blue,40010,O'Hare-bound,FALSE
30013,Belmont (O'Hare Branch) (Forest Pk-bound),-87.712359,41.938132,blue,40060,(O'Hare Branch)(Forest Pk-bound),FALSE
30012,Belmont (O'Hare Branch) (O'Hare-bound),-87.712359,41.938132,blue,40060,(O'Hare Branch)(O'Hare-bound),FALSE
30015,Jackson/Dearborn (Forest Pk-bound),-87.629296,41.878183,blue,40070,(O'Hare Branch)(Forest Pk-bound),FALSE
30014,Jackson/Dearborn (O'Hare-bound),-87.629296,41.878183,blue,40070,(O'Hare Branch)(O'Hare-bound),FALSE
30035,Oak Park (Forest Pk-bound),-87.791602,41.872108,blue,40180,Forest Park-bound,FALSE
30034,Oak Park (O'Hare-bound),-87.791602,41.872108,blue,40180,O'Hare-bound,FALSE
30043,Western (Forest Pk-bound),-87.688436,41.875478,blue,40220,Forest Park-bound,FALSE
30042,Western (O'Hare-bound),-87.688436,41.875478,blue,40220,O'Hare-bound,FALSE
30045,Cumberland (Forest Pk-bound),-87.838028,41.984246,blue,40230,(O'Hare Branch)(Forest Pk-bound),FALSE
30044,Cumberland (O'Hare-bound),-87.838028,41.984246,blue,40230,(O'Hare Branch)(O'Hare-bound),FALSE
30049,Kedzie-Homan (Forest Pk-bound),-87.70604,41.874341,blue,40250,Forest Park-bound,FALSE
30048,Kedzie-Homan (O'Hare-bound),-87.70604,41.874341,blue,40250,O'Hare-bound,FALSE
30063,Division/Milwaukee (Forest Pk-bound),-87.666496,41.903355,blue,40320,(O'Hare Branch)(Forest Pk-bound),FALSE
30062,Division/Milwaukee (O'Hare-bound),-87.666496,41.903355,blue,40320,(O'Hare Branch)(O'Hare-bound),FALSE
30069,UIC-Halsted (Forest Pk-bound),-87.649707,41.875474,blue,40350,Forest Park-bound,FALSE
30068,UIC-Halsted (O'Hare-bound),-87.649707,41.875474,blue,40350,O'Hare-bound,FALSE
